Title,Abstract,Solution,Tech takeaway,Project idea,Link
,,,,,
"Leaf Segmentation and Counting with Deep Learning: on Model Certainty, Test-Time Augmentation, Trade-Offs","Plant phenotyping tasks such as leaf segmentation and counting are fundamental to the study of phenotypic traits. Since it is well-suited for these tasks, deep supervised learning has been prevalent in recent works proposing better performing models at segmenting and counting leaves. Despite good efforts from research groups, one of the main challenges for proposing better methods is still the limitation of labelled data availability. The main efforts of the field seem to be augmenting existing limited data sets, and some aspects of the modelling process have been under-discussed. This paper explores such topics and present experiments that led to the development of the best-performing method in the Leaf Segmentation Challenge and in another external data set of Komatsuna plants. The model has competitive performance while been arguably simpler than other recently proposed ones. The experiments also brought insights such as the fact that model cardinality and test-time augmentation may have strong applications in object segmentation of single class and high occlusion, and regarding the data distribution of recently proposed data sets for benchmarking.",The paper addresses the challenge of limited labeled data and underexplored modeling aspects in leaf segmentation and counting tasks. It proposes a simpler yet effective method that achieves state-of-the-art results through insights on model cardinality and test-time augmentation.,- Utilized test-time augmentation (TTA) with spatial transformations to enhance robustness in high-occlusion scenarios.,"Implement a basic U-Net architecture with test-time augmentation (flipping, scaling) for leaf segmentation on a public dataset like PlantVillage using PyTorch.",http://arxiv.org/abs/2012.11486v1
PointINet: Point Cloud Frame Interpolation Network,"LiDAR point cloud streams are usually sparse in time dimension, which is limited by hardware performance. Generally, the frame rates of mechanical LiDAR sensors are 10 to 20 Hz, which is much lower than other commonly used sensors like cameras. To overcome the temporal limitations of LiDAR sensors, a novel task named Point Cloud Frame Interpolation is studied in this paper. Given two consecutive point cloud frames, Point Cloud Frame Interpolation aims to generate intermediate frame(s) between them. To achieve that, we propose a novel framework, namely Point Cloud Frame Interpolation Network (PointINet). Based on the proposed method, the low frame rate point cloud streams can be upsampled to higher frame rates. We start by estimating bi-directional 3D scene flow between the two point clouds and then warp them to the given time step based on the 3D scene flow. To fuse the two warped frames and generate intermediate point cloud(s), we propose a novel learning-based points fusion module, which simultaneously takes two warped point clouds into consideration. We design both quantitative and qualitative experiments to evaluate the performance of the point cloud frame interpolation method and extensive experiments on two large scale outdoor LiDAR datasets demonstrate the effectiveness of the proposed PointINet. Our code is available at https://github.com/ispc-lab/PointINet.git.","This paper solves the problem of low frame rates in LiDAR point cloud streams by proposing PointINet, which generates intermediate frames between two consecutive point clouds. The method uses 3D scene flow estimation and a novel fusion module to interpolate intermediate frames, effectively increasing the frame rate.",- Introduces a learning-based points fusion module that simultaneously processes two warped point clouds to generate intermediate frames.,"Implement a simplified version of the fusion module using PyTorch and a public LiDAR dataset (e.g., KITTI), leveraging PyTorch3D for point cloud operations.",http://arxiv.org/abs/2012.10066v1
Functional Diffusion,"We propose a new class of generative diffusion models, called functional diffusion. In contrast to previous work, functional diffusion works on samples that are represented by functions with a continuous domain. Functional diffusion can be seen as an extension of classical diffusion models to an infinite-dimensional domain. Functional diffusion is very versatile as images, videos, audio, 3D shapes, deformations, \etc, can be handled by the same framework with minimal changes. In addition, functional diffusion is especially suited for irregular data or data defined in non-standard domains. In our work, we derive the necessary foundations for functional diffusion and propose a first implementation based on the transformer architecture. We show generative results on complicated signed distance functions and deformation functions defined on 3D surfaces.","This paper addresses the challenge of generating continuous-domain data (e.g., functions over irregular or non-Euclidean domains) using diffusion models. It introduces functional diffusion, which extends classical diffusion to infinite-dimensional function spaces, enabling unified generation of images, 3D shapes, and other modalities with minimal framework adjustments.",- Implements functional diffusion using a transformer architecture to handle irregular data and continuous domains.,"Implement a simplified functional diffusion model in PyTorch to generate 1D sine wave functions, using positional encodings and a basic transformer backbone to approximate the diffusion process over continuous intervals.",http://arxiv.org/abs/2311.15435v1
DIRE for Diffusion-Generated Image Detection,"Diffusion models have shown remarkable success in visual synthesis, but have also raised concerns about potential abuse for malicious purposes. In this paper, we seek to build a detector for telling apart real images from diffusion-generated images. We find that existing detectors struggle to detect images generated by diffusion models, even if we include generated images from a specific diffusion model in their training data. To address this issue, we propose a novel image representation called DIffusion Reconstruction Error (DIRE), which measures the error between an input image and its reconstruction counterpart by a pre-trained diffusion model. We observe that diffusion-generated images can be approximately reconstructed by a diffusion model while real images cannot. It provides a hint that DIRE can serve as a bridge to distinguish generated and real images. DIRE provides an effective way to detect images generated by most diffusion models, and it is general for detecting generated images from unseen diffusion models and robust to various perturbations. Furthermore, we establish a comprehensive diffusion-generated benchmark including images generated by eight diffusion models to evaluate the performance of diffusion-generated image detectors. Extensive experiments on our collected benchmark demonstrate that DIRE exhibits superiority over previous generated-image detectors. The code and dataset are available at https://github.com/ZhendongWang6/DIRE.","This paper addresses the challenge of detecting images generated by diffusion models, which existing detectors struggle to identify even with model-specific training data. The solution introduces DIRE, a novel image representation that leverages reconstruction errors from pre-trained diffusion models to distinguish real and generated images.",- DIffusion Reconstruction Error (DIRE): A metric measuring discrepancies between input images and reconstructions from pre-trained diffusion models.,"Implement a basic DIRE-based classifier in PyTorch by loading a pre-trained diffusion model (e.g., Stable Diffusion), computing reconstruction errors on real/generated image datasets, and training a simple threshold-based classifier to distinguish them.",http://arxiv.org/abs/2303.09295v1
Stylized Projected GAN: A Novel Architecture for Fast and Realistic Image Generation,"Generative Adversarial Networks are used for generating the data using a generator and a discriminator, GANs usually produce high-quality images, but training GANs in an adversarial setting is a difficult task. GANs require high computation power and hyper-parameter regularization for converging. Projected GANs tackle the training difficulty of GANs by using transfer learning to project the generated and real samples into a pre-trained feature space. Projected GANs improve the training time and convergence but produce artifacts in the generated images which reduce the quality of the generated samples, we propose an optimized architecture called Stylized Projected GANs which integrates the mapping network of the Style GANs with Skip Layer Excitation of Fast GAN. The integrated modules are incorporated within the generator architecture of the Fast GAN to mitigate the problem of artifacts in the generated images.","Projected GANs improve training efficiency but produce artifacts in generated images. The paper introduces Stylized Projected GANs, which combines StyleGAN's mapping network and FastGAN's Skip Layer Excitation to reduce artifacts while maintaining fast convergence.",- Integrates StyleGAN's mapping network with FastGAN's Skip Layer Excitation in a generator architecture,"Implement a simplified FastGAN generator in PyTorch, add skip connections from intermediate layers to output, and modify it with a style-based mapping network to experiment with artifact reduction in generated images.",http://arxiv.org/abs/2307.16275v1
Do 2D GANs Know 3D Shape? Unsupervised 3D shape reconstruction from 2D Image GANs,"Natural images are projections of 3D objects on a 2D image plane. While state-of-the-art 2D generative models like GANs show unprecedented quality in modeling the natural image manifold, it is unclear whether they implicitly capture the underlying 3D object structures. And if so, how could we exploit such knowledge to recover the 3D shapes of objects in the images? To answer these questions, in this work, we present the first attempt to directly mine 3D geometric cues from an off-the-shelf 2D GAN that is trained on RGB images only. Through our investigation, we found that such a pre-trained GAN indeed contains rich 3D knowledge and thus can be used to recover 3D shape from a single 2D image in an unsupervised manner. The core of our framework is an iterative strategy that explores and exploits diverse viewpoint and lighting variations in the GAN image manifold. The framework does not require 2D keypoint or 3D annotations, or strong assumptions on object shapes (e.g. shapes are symmetric), yet it successfully recovers 3D shapes with high precision for human faces, cats, cars, and buildings. The recovered 3D shapes immediately allow high-quality image editing like relighting and object rotation. We quantitatively demonstrate the effectiveness of our approach compared to previous methods in both 3D shape reconstruction and face rotation. Our code is available at https://github.com/XingangPan/GAN2Shape.",This paper addresses whether 2D image GANs implicitly capture 3D object structures and how to recover 3D shapes from single 2D images without supervision. It proposes an iterative framework that leverages viewpoint and lighting variations in the GAN's image manifold to reconstruct 3D shapes unsupervised.,- Uses an iterative optimization strategy that exploits latent space perturbations in the GAN to infer 3D geometry from single images,"Implement a simplified version of the framework using PyTorch and a pre-trained StyleGAN model (e.g., from https://github.com/hindupuravinash/the-unknown-dimension) to visualize 3D shape recoveries from generated images by manipulating latent space directions.",http://arxiv.org/abs/2011.00844v4
Fine-Tuning Cycle-GAN for Domain Adaptation of MRI Images,"Magnetic Resonance Imaging (MRI) scans acquired from different scanners or institutions often suffer from domain shifts owing to variations in hardware, protocols, and acquisition parameters. This discrepancy degrades the performance of deep learning models trained on source domain data when applied to target domain images. In this study, we propose a Cycle-GAN-based model for unsupervised medical-image domain adaptation. Leveraging CycleGANs, our model learns bidirectional mappings between the source and target domains without paired training data, preserving the anatomical content of the images. By leveraging Cycle-GAN capabilities with content and disparity loss for adaptation tasks, we ensured image-domain adaptation while maintaining image integrity. Several experiments on MRI datasets demonstrated the efficacy of our model in bidirectional domain adaptation without labelled data. Furthermore, research offers promising avenues for improving the diagnostic accuracy of healthcare. The statistical results confirm that our approach improves model performance and reduces domain-related variability, thus contributing to more precise and consistent medical image analysis.","The paper solves the problem of domain shift in Magnetic Resonance Imaging (MRI) scans acquired from different scanners or institutions, which degrades the performance of deep learning models. It proposes a Cycle-GAN-based model for unsupervised medical-image domain adaptation, preserving the anatomical content of the images and improving model performance.","The paper uses CycleGANs, which learn bidirectional mappings between the source and target domains without paired training data.","Create a PyTorch implementation of a Cycle-GAN model to adapt the style of a public dataset (e.g., MNIST) to mimic another dataset (e.g., CIFAR-10), and then evaluate the effectiveness of the adaptation using metrics such as PSNR and SSIM.",http://arxiv.org/abs/2601.12512v1
A Cycle GAN Approach for Heterogeneous Domain Adaptation in Land Use Classification,"In the field of remote sensing and more specifically in Earth Observation, new data are available every day, coming from different sensors. Leveraging on those data in classification tasks comes at the price of intense labelling tasks that are not realistic in operational settings. While domain adaptation could be useful to counterbalance this problem, most of the usual methods assume that the data to adapt are comparable (they belong to the same metric space), which is not the case when multiple sensors are at stake. Heterogeneous domain adaptation methods are a particular solution to this problem. We present a novel method to deal with such cases, based on a modified cycleGAN version that incorporates classification losses and a metric space alignment term. We demonstrate its power on a land use classification tasks, with images from both Google Earth and Sentinel-2.","This paper solves the problem of heterogeneous domain adaptation in land use classification by proposing a novel method to deal with data from different sensors, which do not belong to the same metric space. The solution is based on a modified cycleGAN version that incorporates classification losses and a metric space alignment term.",The paper uses a modified cycleGAN architecture with classification losses and a metric space alignment term.,"Project Idea: Implement a simplified cycleGAN-based domain adaptation model in PyTorch for image classification tasks. Start with a basic CycleGAN implementation, then modify it to incorporate classification losses and a metric space alignment term, and test it on a simple image classification dataset like CIFAR-10 or a remote sensing dataset with images from different sensors.",http://arxiv.org/abs/2004.11245v1
Real-World Adversarial Examples involving Makeup Application,"Deep neural networks have developed rapidly and have achieved outstanding performance in several tasks, such as image classification and natural language processing. However, recent studies have indicated that both digital and physical adversarial examples can fool neural networks. Face-recognition systems are used in various applications that involve security threats from physical adversarial examples. Herein, we propose a physical adversarial attack with the use of full-face makeup. The presence of makeup on the human face is a reasonable possibility, which possibly increases the imperceptibility of attacks. In our attack framework, we combine the cycle-adversarial generative network (cycle-GAN) and a victimized classifier. The Cycle-GAN is used to generate adversarial makeup, and the architecture of the victimized classifier is VGG 16. Our experimental results show that our attack can effectively overcome manual errors in makeup application, such as color and position-related errors. We also demonstrate that the approaches used to train the models can influence physical attacks; the adversarial perturbations crafted from the pre-trained model are affected by the corresponding training data.","The paper solves the problem of fooling face-recognition systems using physical adversarial examples, specifically by applying full-face makeup to evade detection. The solution uses a cycle-adversarial generative network (cycle-GAN) to generate adversarial makeup, which can effectively overcome manual errors in makeup application.","One key technology used in this paper is the Cycle-GAN architecture, which is a type of generative adversarial network (GAN) used to transfer styles between two domains.","Project Idea: Adversarial Makeup Generator using Cycle-GAN
Create a simple PyTorch project that uses the Cycle-GAN architecture to generate adversarial makeup images. Use a pre-trained Cycle-GAN model and a small dataset of face images to train the model. Then, use the model to generate adversarial makeup images that can fool a simple face-recognition classifier. Compare the results with and without the adversarial makeup to demonstrate the effectiveness of the attack.",http://arxiv.org/abs/2109.03329v1
